i_d,n_espacio,area,tipo_nl,tipo_2,com_dir,asesor_ext,com_tec,coordinadxr,secret,particip,financia,period,colab,invest,docenc,difus,interdis,intercam,vincula,espacio,editorial,coord,contrata ,clases,clases_par,clases_dis
15,Seminario Universitario de Investigación del Patrimonio Cultural (SUIP),humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,6 a 10,UNAM ,2011-2015,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,espac,no_edito,no_coord,no_contrata ,uno ,,
16,Seminario Universitario de Transparencia,humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,6 a 10,UNAM ,2011-2015,colab,investiga,docen,no_difusion ,interdisc,no_intercam,vincula,no_espac,edito,no_coord,no_contrata ,uno ,,uno 
17,Seminario Universitario Interdisciplinario sobre Envejecimiento y Vejez,humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,11 a 15,UNAM ,2011-2015,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,edito,coord,no_contrata ,dos,,
18,Seminario Universitario Interdisciplinario sobre Violencia Escolar (SUIVE),humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,16 a 20,UNAM ,2011-2015,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,edito,no_coord,no_contrata ,dos,,
19,Seminario Universitario sobre Afectividad y  Emociones,humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,1 a 5,UNAM ,2011-2015,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,no_vincula,no_espac,no_edito,no_coord,no_contrata ,tres,tres,
20,Seminario Universitario Sobre el Estado Actual de las Ciencias y las Humanidades,humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,cero,UNAM ,2011-2015,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,no_vincula,espac,no_edito,no_coord,no_contrata ,tres,,tres
21,Seminario Universitario sobre Investigación en Hidrocarburos,ciencias ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,no_com_tec,coordinadxr,secretaría ,11 a 15,UNAM ,2011-2015,colab,investiga,docen,no_difusion ,no_interdisc,no_intercam,vincula,no_espac,no_edito,no_coord,no_contrata ,uno ,uno ,
22,Programa Espacial Universitario (PEU),ciencias ,Programa universitario ,PROGRAMA,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,6 a 10,UNAM ,2016-2020,colab,investiga,no_docen,difusión ,interdisc,no_intercam,vincula,no_espac,no_edito,coord,no_contrata ,dos,,
23,Programa Universitario de Estudios sobre Asia y África (PUEAA),humanidades ,Programa universitario ,PROGRAMA,com_dir,asesor_ext,no_com_tec,coordinadxr,secretaría ,16 a 20,UNAM ,2016-2020,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,no_edito,coord,no_contrata ,dos,,dos
24,"Programa Universitario de Estudios sobre Democracia, Justicia y Sociedad (PUEDJS)",humanidades ,Programa universitario ,PROGRAMA,com_dir,asesor_ext,no_com_tec,coordinadxr,no_secretaría,16 a 20,UNAM ,2016-2020,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,no_edito,coord,no_contrata ,dos,,dos
25,Programa Universitario de Estudios sobre Educación Superior (PUEES),humanidades ,Programa universitario ,PROGRAMA,com_dir,asesor_ext,no_com_tec,coordinadxr,no_secretaría,6 a 10,UNAM ,2016-2020,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,edito,coord,no_contrata ,dos,dos,dos
26,"Seminario Universitario de Emprendimiento Social, Administración Sostenible y Formación Integral en los Niveles Medio Superior y Superior en la Universidad Nacional Autónoma de México (SUESA)",humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,6 a 10,UNAM ,2016-2020,colab,investiga,docen,difusión ,no_interdisc,no_intercam,vincula,no_espac,no_edito,no_coord,no_contrata ,uno ,,
27,Seminario Universitario de Estudios de Riesgos Socio-Ambientales (SURSA),ciencias ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,11 a 15,UNAM ,2016-2020,colab,investiga,no_docen,difusión ,interdisc,no_intercam,no_vincula,no_espac,edito,no_coord,no_contrata ,uno ,,
28,"Seminario Universitario de Estudios sobre Desplazamiento Interno, Migración, Exilio y Repatriación (SUDIMER)",humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,11 a 15,UNAM ,2016-2020,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,vincula,no_espac,no_edito,coord,no_contrata ,uno ,,
29,Seminario Universitario de Investigación en Creación Artística SUICREA,humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,6 a 10,UNAM ,2016-2020,no_colab,investiga,no_docen,no_difusion ,no_interdisc,no_intercam,no_vincula,no_espac,edito,no_coord,no_contrata ,uno ,,uno 
